13,1536,64,32,-976
14,1644,64,32,-1024
15,1752,96,0,-1024
16,1860,96,0,-1008
17,1968,80,32,-1040
18,2076,96,16,-1008
19,2184,80,16,-1072
20,2292,96,16,-1008
21,2400,80,32,-1040
22,2508,80,48,-1024
23,2616,112,16,-1024
24,2724,112,16,-992
25,2838,144,32,-1088
26,2946,304,64,-1744
27,3054,0,0,-768
28,3162,-176,0,-16
29,3270,-80,192,-192
30,3378,128,144,-1056
31,3486,736,-128,-2048
32,3594,304,-112,-1648
33,3702,128,-160,-656
34,3810,-80,16,-288
35,3918,-144,144,-320
36,4026,80,-112,-864
37,4134,112,-32,-1728
38,4242,240,32,-2048
39,4350,48,48,-1312
40,4458,-16,-48,-768
41,4566,0,-80,-176
42,4674,-208,192,-336
43,4782,80,64,-752
44,4890,464,-64,-1648
45,4998,384,-48,-1952
46,5106,160,-64,-1312
47,5214,48,-48,-48
48,5322,32,-64,0
49,5436,32,64,-544
50,5544,304,-144,-1312
51,5652,480,-48,-2048
52,5760,160,48,-1344
53,5868,80,0,-640
54,5976,96,-160,-336
55,6084,-128,144,32
56,6192,144,48,-944
57,6300,432,-32,-1904
58,6408,352,-16,-1808
59,6516,176,-48,-1120
60,6624,192,-208,-576
61,6732,32,0,-208
62,6840,48,-16,-368
63,6948,272,-64,-1152
64,7056,576,-128,-2048
65,7164,304,-64,-1424
66,7272,96,-16,-1008
67,7380,128,-208,-480
68,7488,-192,256,64
69,7596,96,-48,-464
70,7704,496,-256,-1664
71,7812,240,64,-2048
72,7920,112,96,-1312
73,8034,304,-304,-720
74,8142,64,-96,-48
75,8250,-96,160,-384
76,8358,128,-32,-928
77,8466,384,-144,-2048
78,8574,256,-32,-1648
79,8682,160,-80,-912
80,8790,32,-112,-128
81,8898,96,-64,-144
82,9006,112,16,-544
83,9114,144,-64,-1568
84,9222,128,-48,-1312
85,9330,128,-128,-960
86,9438,112,-80,-992
87,9546,96,-48,-992
88,9654,176,-112,-1040
89,9762,128,-64,-976
90,9870,144,-96,-1040
91,9978,144,-80,-1008
92,10086,176,-96,-992
93,10194,128,-32,-1008
94,10302,144,-64,-1008
95,10410,160,-64,-1072
96,10518,112,-48,-976
97,10632,160,-112,-992
