22,2508,64,80,-1024
23,2616,64,80,-1024
24,2724,64,96,-1024
25,2838,64,80,-1024
26,2946,64,80,-1008
27,3054,80,80,-1024
28,3162,80,80,-1024
29,3270,64,80,-1024
30,3378,64,80,-1024
31,3486,64,96,-1024
32,3594,64,96,-1024
33,3702,64,80,-1024
34,3810,64,96,-1024
35,3918,64,80,-1024
36,4026,64,96,-1024
37,4134,64,80,-1008
38,4242,64,80,-1008
39,4350,64,80,-1024
40,4458,64,80,-1008
41,4566,80,80,-1024
42,4674,64,80,-1024
43,4782,64,80,-1024
44,4890,64,80,-1024
45,4998,64,80,-1024
46,5106,64,80,-1024
47,5214,64,80,-1024
48,5322,48,80,-1008
49,5436,96,80,-1008
50,5544,80,112,-1008
51,5652,224,16,-928
52,5760,32,144,-1024
53,5868,96,144,-1088
54,5976,192,64,-1040
55,6084,256,0,-992
56,6192,0,112,-992
57,6300,80,64,-912
58,6408,160,-16,-992
59,6516,96,0,-1056
60,6624,32,64,-992
61,6732,64,0,-1040
62,6840,128,-48,-944
63,6948,96,-48,-1024
64,7056,112,-16,-976
65,7164,144,0,-880
66,7272,112,64,-816
67,7380,80,-32,-976
68,7488,32,-32,-1024
69,7596,144,-64,-960
70,7704,48,-48,-1056
71,7812,48,-32,-992
72,7920,112,-80,-1024
73,8034,48,-80,-1024
74,8142,48,-32,-992
75,8250,112,-64,-1008
76,8358,80,-48,-992
77,8466,-16,-16,-1072
78,8574,16,-32,-992
79,8682,32,-32,-1024
80,8790,32,-32,-1008
81,8898,64,-48,-1024
82,9006,96,-80,-976
83,9114,32,-32,-1008
84,9222,80,-48,-1024
85,9330,16,-32,-1024
86,9438,64,-48,-976
87,9546,64,-48,-1008
88,9654,48,-64,-976
89,9762,0,-16,-1008
90,9870,48,-48,-1040
91,9978,16,-48,-1024
92,10086,48,-32,-1040
93,10194,112,-64,-1024
94,10302,80,-64,-992
95,10410,96,-32,-960
96,10518,64,-80,-1008
97,10632,64,-64,-992
98,10740,80,-64,-1024
99,10848,112,-48,-1024
100,10956,64,-48,-1040
101,11064,48,-32,-1040
102,11172,32,-48,-1024
103,11280,48,-64,-1008
104,11388,80,-64,-992
105,11496,112,-96,-1024
106,11604,64,-64,-992
107,11712,64,-64,-1040
108,11820,48,-32,-976
109,11928,48,-80,-1056
110,12036,48,-32,-960
111,12144,96,-80,-1024
112,12252,48,-64,-1024
113,12360,32,-64,-1024
114,12468,16,-48,-976
115,12576,32,-80,-1024
116,12684,16,-32,-960
117,12792,-32,-32,-1024
118,12900,-16,-16,-1008
119,13008,-64,-32,-1008
120,13122,-48,64,-960
121,13230,-64,80,-960
122,13338,-32,48,-1104
123,13446,16,128,-1168
124,13554,-16,144,-1392
125,13662,-256,368,-1200
126,13770,-224,256,-1184
127,13878,48,128,-1072
128,13986,-16,128,-656
129,14094,48,32,-1040
130,14202,32,64,-1072
131,14310,80,80,-960
132,14418,0,160,-1104
133,14526,48,48,-1040
134,14634,32,-112,-1376
135,14742,16,16,-1008
136,14850,16,16,-1024
137,14958,16,0,-1008
138,15066,16,16,-1024
139,15174,16,0,-1008
140,15282,16,16,-1008
141,15390,16,0,-1008
142,15498,16,0,-1024
143,15606,16,0,-1008
144,15720,16,16,-1008
145,15828,16,16,-1024
146,15936,16,16,-1024
147,16044,16,16,-1024
148,16152,16,0,-1024
149,16260,16,0,-1008
150,16368,16,0,-1008
151,16476,16,0,-1024
152,16584,16,16,-1008
153,16692,16,16,-1024
154,16800,16,16,-1024
155,16908,16,16,-1008
156,17016,16,0,-1008
157,17124,16,16,-1008
158,17232,16,0,-1024
159,17340,16,16,-1008
160,17448,16,0,-1008
161,17556,16,0,-1024
162,17664,16,0,-1008
